Infinitive,очи́ститься
Zaliznyak Class,4a[②]
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,очи́стившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,очи́стившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,очи́щусь
2nd Sing,очи́стишься
3rd Sing,очи́стится
1st Pl,очи́стимся
2nd Pl,очи́ститесь
3rd Pl,очи́стятся
Past M,очи́стился
Past F,очи́стилась
Past N,очи́стилось
Past PL,очи́стились
Imp S,очи́стись
Imp PL,очи́ститесь
