Infinitive,очу́хаться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,очу́хавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,очу́хавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,очу́хаюсь
2nd Sing,очу́хаешься
3rd Sing,очу́хается
1st Pl,очу́хаемся
2nd Pl,очу́хаетесь
3rd Pl,очу́хаются
Past M,очу́хался
Past F,очу́халась
Past N,очу́халось
Past PL,очу́хались
Imp S,очу́хайся
Imp PL,очу́хайтесь
