Infinitive,очну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,очну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,очну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,очну́сь
2nd Sing,очнёшься
3rd Sing,очнётся
1st Pl,очнёмся
2nd Pl,очнётесь
3rd Pl,очну́тся
Past M,очну́лся
Past F,очну́лась
Past N,очну́лось
Past PL,очну́лись
Imp S,очни́сь
Imp PL,очни́тесь
