Infinitive,въе́сться
Zaliznyak Class,irreg-b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,въе́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,въе́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,въе́мся
2nd Sing,въе́шься
3rd Sing,въе́стся
1st Pl,въеди́мся
2nd Pl,въеди́тесь
3rd Pl,въедя́тся
Past M,въе́лся
Past F,въе́лась
Past N,въе́лось
Past PL,въе́лись
Imp S,въе́шься
Imp PL,въе́шьтесь
