Infinitive,въезжа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,въезжа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,въезжа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,въезжа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,въезжа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,въезжа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,въезжа́ю
2nd Sing,въезжа́ешь
3rd Sing,въезжа́ет
1st Pl,въезжа́ем
2nd Pl,въезжа́ете
3rd Pl,въезжа́ют
Past M,въезжа́л
Past F,въезжа́ла
Past N,въезжа́ло
Past PL,въезжа́ли
Imp S,въезжа́й
Imp PL,въезжа́йте
