Infinitive,въе́хать
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,въе́хавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,въе́хав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,въе́хавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,въе́ду
2nd Sing,въе́дешь
3rd Sing,въе́дет
1st Pl,въе́дем
2nd Pl,въе́дете
3rd Pl,въе́дут
Past M,въе́хал
Past F,въе́хала
Past N,въе́хало
Past PL,въе́хали
Imp S,въезжа́й
Imp PL,въезжа́йте
