Infinitive,оцепене́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,оцепене́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оцепене́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,оцепене́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,оцепене́ю
2nd Sing,оцепене́ешь
3rd Sing,оцепене́ет
1st Pl,оцепене́ем
2nd Pl,оцепене́ете
3rd Pl,оцепене́ют
Past M,оцепене́л
Past F,оцепене́ла
Past N,оцепене́ло
Past PL,оцепене́ли
Imp S,оцепене́й
Imp PL,оцепене́йте
