Infinitive,оцинкова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оцинкова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оцинко́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оцинкова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оцинкова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оцинку́ю
2nd Sing,оцинку́ешь
3rd Sing,оцинку́ет
1st Pl,оцинку́ем
2nd Pl,оцинку́ете
3rd Pl,оцинку́ют
Past M,оцинкова́л
Past F,оцинкова́ла
Past N,оцинкова́ло
Past PL,оцинкова́ли
Imp S,оцинку́й
Imp PL,оцинку́йте
