Infinitive,оцепи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оцепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оце́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оцепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оцепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оцеплю́
2nd Sing,оце́пишь
3rd Sing,оце́пит
1st Pl,оце́пим
2nd Pl,оце́пите
3rd Pl,оце́пят
Past M,оцепи́л
Past F,оцепи́ла
Past N,оцепи́ло
Past PL,оцепи́ли
Imp S,оцепи́
Imp PL,оцепи́те
