Infinitive,оце́ниваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оце́нивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,оце́нивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оце́ниваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,оце́нивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оце́ниваюсь
2nd Sing,оце́ниваешься
3rd Sing,оце́нивается
1st Pl,оце́ниваемся
2nd Pl,оце́ниваетесь
3rd Pl,оце́ниваются
Past M,оце́нивался
Past F,оце́нивалась
Past N,оце́нивалось
Past PL,оце́нивались
Imp S,оце́нивайся
Imp PL,оце́нивайтесь
