Infinitive,оцара́пать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оцара́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оцара́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оцара́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оцара́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оцара́паю
2nd Sing,оцара́паешь
3rd Sing,оцара́пает
1st Pl,оцара́паем
2nd Pl,оцара́паете
3rd Pl,оцара́пают
Past M,оцара́пал
Past F,оцара́пала
Past N,оцара́пало
Past PL,оцара́пали
Imp S,оцара́пай
Imp PL,оцара́пайте
