Infinitive,свали́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,свали́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сва́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,свали́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,свали́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,свалю́
2nd Sing,сва́лишь
3rd Sing,сва́лит
1st Pl,сва́лим
2nd Pl,сва́лите
3rd Pl,сва́лят
Past M,свали́л
Past F,свали́ла
Past N,свали́ло
Past PL,свали́ли
Imp S,свали́
Imp PL,свали́те
