Infinitive,сверка́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сверка́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сверка́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сверка́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сверка́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,сверка́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,сверка́ю
2nd Sing,сверка́ешь
3rd Sing,сверка́ет
1st Pl,сверка́ем
2nd Pl,сверка́ете
3rd Pl,сверка́ют
Past M,сверка́л
Past F,сверка́ла
Past N,сверка́ло
Past PL,сверка́ли
Imp S,сверка́й
Imp PL,сверка́йте
