Infinitive,свести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,све́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сведённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сведя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,све́дши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сведу́
2nd Sing,сведёшь
3rd Sing,сведёт
1st Pl,сведём
2nd Pl,сведёте
3rd Pl,сведу́т
Past M,свёл
Past F,свела́
Past N,свело́
Past PL,свели́
Imp S,сведи́
Imp PL,сведи́те
