Infinitive,сверкну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сверкну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сверкну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,сверкну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,сверкну́
2nd Sing,сверкнёшь
3rd Sing,сверкнёт
1st Pl,сверкнём
2nd Pl,сверкнёте
3rd Pl,сверкну́т
Past M,сверкну́л
Past F,сверкну́ла
Past N,сверкну́ло
Past PL,сверкну́ли
Imp S,сверкни́
Imp PL,сверкни́те
