Infinitive,сверну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сверну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сверну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сверну́сь
2nd Sing,свернёшься
3rd Sing,свернётся
1st Pl,свернёмся
2nd Pl,свернётесь
3rd Pl,сверну́тся
Past M,сверну́лся
Past F,сверну́лась
Past N,сверну́лось
Past PL,сверну́лись
Imp S,сверни́сь
Imp PL,сверни́тесь
