Infinitive,свирепе́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,свирепе́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,свирепе́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,свирепе́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,свирепе́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,свирепе́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,свирепе́ю
2nd Sing,свирепе́ешь
3rd Sing,свирепе́ет
1st Pl,свирепе́ем
2nd Pl,свирепе́ете
3rd Pl,свирепе́ют
Past M,свирепе́л
Past F,свирепе́ла
Past N,свирепе́ло
Past PL,свирепе́ли
Imp S,свирепе́й
Imp PL,свирепе́йте
