Infinitive,свиде́тельствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,свиде́тельствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,свиде́тельствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,свиде́тельствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,свиде́тельствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,свиде́тельствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,свиде́тельствую
2nd Sing,свиде́тельствуешь
3rd Sing,свиде́тельствует
1st Pl,свиде́тельствуем
2nd Pl,свиде́тельствуете
3rd Pl,свиде́тельствуют
Past M,свиде́тельствовал
Past F,свиде́тельствовала
Past N,свиде́тельствовало
Past PL,свиде́тельствовали
Imp S,свиде́тельствуй
Imp PL,свиде́тельствуйте
