Infinitive,связа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,связа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,свя́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,связа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,связа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,свяжу́
2nd Sing,свя́жешь
3rd Sing,свя́жет
1st Pl,свя́жем
2nd Pl,свя́жете
3rd Pl,свя́жут
Past M,связа́л
Past F,связа́ла
Past N,связа́ло
Past PL,связа́ли
Imp S,свяжи́
Imp PL,свяжи́те
