Infinitive,сверя́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сверя́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сверя́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сверя́юсь
2nd Sing,сверя́ешься
3rd Sing,сверя́ется
1st Pl,сверя́емся
2nd Pl,сверя́етесь
3rd Pl,сверя́ются
Past M,сверя́лся
Past F,сверя́лась
Past N,сверя́лось
Past PL,сверя́лись
Imp S,сверя́йся
Imp PL,сверя́йтесь
