Infinitive,све́риться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,све́рившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,све́рившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,све́рюсь
2nd Sing,све́ришься
3rd Sing,све́рится
1st Pl,све́римся
2nd Pl,све́ритесь
3rd Pl,све́рятся
Past M,све́рился
Past F,све́рилась
Past N,све́рилось
Past PL,све́рились
Imp S,све́рься
Imp PL,све́рьтесь
