Infinitive,сви́ть
Zaliznyak Class,11*b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сви́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сви́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сви́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сви́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,совью́
2nd Sing,совьёшь
3rd Sing,совьёт
1st Pl,совьём
2nd Pl,совьёте
3rd Pl,совью́т
Past M,сви́л
Past F,свила́
Past N,сви́ло
Past PL,сви́ли
Imp S,све́й
Imp PL,све́йте
