Infinitive,све́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,све́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,све́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,све́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,све́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,све́шу
2nd Sing,све́сишь
3rd Sing,све́сит
1st Pl,све́сим
2nd Pl,све́сите
3rd Pl,све́сят
Past M,све́сил
Past F,све́сила
Past N,све́сило
Past PL,све́сили
Imp S,све́сь
Imp PL,све́сьте
