Infinitive,све́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,све́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,све́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,све́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,све́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,све́рю
2nd Sing,све́ришь
3rd Sing,све́рит
1st Pl,све́рим
2nd Pl,све́рите
3rd Pl,све́рят
Past M,све́рил
Past F,све́рила
Past N,све́рило
Past PL,све́рили
Imp S,све́рь
Imp PL,све́рьте
