Infinitive,свари́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,свари́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,свари́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сварю́сь
2nd Sing,сва́ришься
3rd Sing,сва́рится
1st Pl,сва́римся
2nd Pl,сва́ритесь
3rd Pl,сва́рятся
Past M,свари́лся
Past F,свари́лась
Past N,свари́лось
Past PL,свари́лись
Imp S,свари́сь
Imp PL,свари́тесь
