Infinitive,связа́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,связа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,связа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,свяжу́сь
2nd Sing,свя́жешься
3rd Sing,свя́жется
1st Pl,свя́жемся
2nd Pl,свя́жетесь
3rd Pl,свя́жутся
Past M,связа́лся
Past F,связа́лась
Past N,связа́лось
Past PL,связа́лись
Imp S,свяжи́сь
Imp PL,свяжи́тесь
