Infinitive,свире́пствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,свире́пствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,свире́пствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,свире́пствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,свире́пствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,свире́пствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,свире́пствую
2nd Sing,свире́пствуешь
3rd Sing,свире́пствует
1st Pl,свире́пствуем
2nd Pl,свире́пствуете
3rd Pl,свире́пствуют
Past M,свире́пствовал
Past F,свире́пствовала
Past N,свире́пствовало
Past PL,свире́пствовали
Imp S,свире́пствуй
Imp PL,свире́пствуйте
