Infinitive,сва́ливаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сва́ливающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сва́ливавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сва́ливаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сва́ливавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сва́ливаюсь
2nd Sing,сва́ливаешься
3rd Sing,сва́ливается
1st Pl,сва́ливаемся
2nd Pl,сва́ливаетесь
3rd Pl,сва́ливаются
Past M,сва́ливался
Past F,сва́ливалась
Past N,сва́ливалось
Past PL,сва́ливались
Imp S,сва́ливайся
Imp PL,сва́ливайтесь
