Infinitive,свихну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,свихну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,свихну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,свихну́сь
2nd Sing,свихнёшься
3rd Sing,свихнётся
1st Pl,свихнёмся
2nd Pl,свихнётесь
3rd Pl,свихну́тся
Past M,свихну́лся
Past F,свихну́лась
Past N,свихну́лось
Past PL,свихну́лись
Imp S,свихни́сь
Imp PL,свихни́тесь
