Infinitive,свы́кнуться
Zaliznyak Class,3°a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,свы́кшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,свы́кшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,свы́кнусь
2nd Sing,свы́кнешься
3rd Sing,свы́кнется
1st Pl,свы́кнемся
2nd Pl,свы́кнетесь
3rd Pl,свы́кнутся
Past M,свы́кся
Past F,свы́клась
Past N,свы́клось
Past PL,свы́клись
Imp S,свы́кнись
Imp PL,свы́книтесь
