Infinitive,свиса́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,свиса́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,свиса́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,свиса́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,свиса́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,свиса́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,свиса́ю
2nd Sing,свиса́ешь
3rd Sing,свиса́ет
1st Pl,свиса́ем
2nd Pl,свиса́ете
3rd Pl,свиса́ют
Past M,свиса́л
Past F,свиса́ла
Past N,свиса́ло
Past PL,свиса́ли
Imp S,свиса́й
Imp PL,свиса́йте
