Infinitive,сви́стнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сви́стнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сви́стнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сви́стнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сви́стнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сви́стну
2nd Sing,сви́стнешь
3rd Sing,сви́стнет
1st Pl,сви́стнем
2nd Pl,сви́стнете
3rd Pl,сви́стнут
Past M,сви́стнул
Past F,сви́стнула
Past N,сви́стнуло
Past PL,сви́стнули
Imp S,сви́стни
Imp PL,сви́стните
