Infinitive,сверну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сверну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,свёрнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сверну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сверну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сверну́
2nd Sing,свернёшь
3rd Sing,свернёт
1st Pl,свернём
2nd Pl,свернёте
3rd Pl,сверну́т
Past M,сверну́л
Past F,сверну́ла
Past N,сверну́ло
Past PL,сверну́ли
Imp S,сверни́
Imp PL,сверни́те
