Infinitive,сверши́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сверши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,свершённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сверши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сверши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,свершу́
2nd Sing,сверши́шь
3rd Sing,сверши́т
1st Pl,сверши́м
2nd Pl,сверши́те
3rd Pl,сверша́т
Past M,сверши́л
Past F,сверши́ла
Past N,сверши́ло
Past PL,сверши́ли
Imp S,сверши́
Imp PL,сверши́те
