Infinitive,свети́ть
Zaliznyak Class,4c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,светя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,свети́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,светя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,свети́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,свети́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,свечу́
2nd Sing,све́тишь
3rd Sing,све́тит
1st Pl,све́тим
2nd Pl,све́тите
3rd Pl,све́тят
Past M,свети́л
Past F,свети́ла
Past N,свети́ло
Past PL,свети́ли
Imp S,свети́
Imp PL,свети́те
