Infinitive,своди́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сводя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,своди́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сводя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,своди́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,свожу́сь
2nd Sing,сво́дишься
3rd Sing,сво́дится
1st Pl,сво́димся
2nd Pl,сво́дитесь
3rd Pl,сво́дятся
Past M,своди́лся
Past F,своди́лась
Past N,своди́лось
Past PL,своди́лись
Imp S,своди́сь
Imp PL,своди́тесь
