Infinitive,свали́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,свали́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,свали́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,свалю́сь
2nd Sing,сва́лишься
3rd Sing,сва́лится
1st Pl,сва́лимся
2nd Pl,сва́литесь
3rd Pl,сва́лятся
Past M,свали́лся
Past F,свали́лась
Past N,свали́лось
Past PL,свали́лись
Imp S,свали́сь
Imp PL,свали́тесь
