Infinitive,сверши́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сверши́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сверши́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,свершу́сь
2nd Sing,сверши́шься
3rd Sing,сверши́тся
1st Pl,сверши́мся
2nd Pl,сверши́тесь
3rd Pl,сверша́тся
Past M,сверши́лся
Past F,сверши́лась
Past N,сверши́лось
Past PL,сверши́лись
Imp S,сверши́сь
Imp PL,сверши́тесь
