Infinitive,свороти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,свороти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,своро́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,свороти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,свороти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сворочу́
2nd Sing,своро́тишь
3rd Sing,своро́тит
1st Pl,своро́тим
2nd Pl,своро́тите
3rd Pl,своро́тят
Past M,свороти́л
Past F,свороти́ла
Past N,свороти́ло
Past PL,свороти́ли
Imp S,свороти́
Imp PL,свороти́те
