Infinitive,све́ситься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,све́сившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,све́сившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,све́шусь
2nd Sing,све́сишься
3rd Sing,све́сится
1st Pl,све́симся
2nd Pl,све́ситесь
3rd Pl,све́сятся
Past M,све́сился
Past F,све́силась
Past N,све́силось
Past PL,све́сились
Imp S,све́сься
Imp PL,све́сьтесь
