Infinitive,сворова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сворова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,своро́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сворова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сворова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,свору́ю
2nd Sing,свору́ешь
3rd Sing,свору́ет
1st Pl,свору́ем
2nd Pl,свору́ете
3rd Pl,свору́ют
Past M,сворова́л
Past F,сворова́ла
Past N,сворова́ло
Past PL,сворова́ли
Imp S,свору́й
Imp PL,свору́йте
