Infinitive,све́шиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,све́шивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,све́шивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,све́шиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,све́шивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,све́шиваюсь
2nd Sing,све́шиваешься
3rd Sing,све́шивается
1st Pl,све́шиваемся
2nd Pl,све́шиваетесь
3rd Pl,све́шиваются
Past M,све́шивался
Past F,све́шивалась
Past N,све́шивалось
Past PL,све́шивались
Imp S,све́шивайся
Imp PL,све́шивайтесь
