Infinitive,сверша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сверша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сверша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сверша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сверша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сверша́юсь
2nd Sing,сверша́ешься
3rd Sing,сверша́ется
1st Pl,сверша́емся
2nd Pl,сверша́етесь
3rd Pl,сверша́ются
Past M,сверша́лся
Past F,сверша́лась
Past N,сверша́лось
Past PL,сверша́лись
Imp S,сверша́йся
Imp PL,сверша́йтесь
