Infinitive,свезти́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,свёзший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,свезённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,свезя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,свёзши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,свезу́
2nd Sing,свезёшь
3rd Sing,свезёт
1st Pl,свезём
2nd Pl,свезёте
3rd Pl,свезу́т
Past M,свёз
Past F,свезла́
Past N,свезло́
Past PL,свезли́
Imp S,свези́
Imp PL,свези́те
