Infinitive,свести́сь
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,све́дшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сведя́сь
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,све́дшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,сведу́сь
2nd Sing,сведёшься
3rd Sing,сведётся
1st Pl,сведёмся
2nd Pl,сведётесь
3rd Pl,сведу́тся
Past M,свёлся
Past F,свела́сь
Past N,свело́сь
Past PL,свели́сь
Imp S,сведи́сь
Imp PL,сведи́тесь
