Infinitive,свисте́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,свистя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,свисте́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,свисти́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,свистя́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,свисте́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,свисте́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,свищу́
2nd Sing,свисти́шь
3rd Sing,свисти́т
1st Pl,свисти́м
2nd Pl,свисти́те
3rd Pl,свистя́т
Past M,свисте́л
Past F,свисте́ла
Past N,свисте́ло
Past PL,свисте́ли
Imp S,свисти́
Imp PL,свисти́те
