Infinitive,свари́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,свари́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сва́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,свари́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,свари́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сварю́
2nd Sing,сва́ришь
3rd Sing,сва́рит
1st Pl,сва́рим
2nd Pl,сва́рите
3rd Pl,сва́рят
Past M,свари́л
Past F,свари́ла
Past N,свари́ло
Past PL,свари́ли
Imp S,свари́
Imp PL,свари́те
