Infinitive,мя́ть
Zaliznyak Class,14b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,мну́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мя́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,мя́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,мня́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,мя́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,мя́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,мну́
2nd Sing,мнёшь
3rd Sing,мнёт
1st Pl,мнём
2nd Pl,мнёте
3rd Pl,мну́т
Past M,мя́л
Past F,мя́ла
Past N,мя́ло
Past PL,мя́ли
Imp S,мни́
Imp PL,мни́те
