Infinitive,согласи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,согласи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,согласи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,соглашу́сь
2nd Sing,согласи́шься
3rd Sing,согласи́тся
1st Pl,согласи́мся
2nd Pl,согласи́тесь
3rd Pl,соглася́тся
Past M,согласи́лся
Past F,согласи́лась
Past N,согласи́лось
Past PL,согласи́лись
Imp S,согласи́сь
Imp PL,согласи́тесь
