Infinitive,соверши́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,соверши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,совершённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,соверши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,соверши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,совершу́
2nd Sing,соверши́шь
3rd Sing,соверши́т
1st Pl,соверши́м
2nd Pl,соверши́те
3rd Pl,соверша́т
Past M,соверши́л
Past F,соверши́ла
Past N,соверши́ло
Past PL,соверши́ли
Imp S,соверши́
Imp PL,соверши́те
