Infinitive,соскочи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,соскочи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,соскочи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,соскочи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,соскочу́
2nd Sing,соско́чишь
3rd Sing,соско́чит
1st Pl,соско́чим
2nd Pl,соско́чите
3rd Pl,соско́чат
Past M,соскочи́л
Past F,соскочи́ла
Past N,соскочи́ло
Past PL,соскочи́ли
Imp S,соскочи́
Imp PL,соскочи́те
