Infinitive,сооруди́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сооруди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сооружённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сооруди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сооруди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сооружу́
2nd Sing,сооруди́шь
3rd Sing,сооруди́т
1st Pl,сооруди́м
2nd Pl,сооруди́те
3rd Pl,соорудя́т
Past M,сооруди́л
Past F,сооруди́ла
Past N,сооруди́ло
Past PL,сооруди́ли
Imp S,сооруди́
Imp PL,сооруди́те
