Infinitive,совмеща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,совмеща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,совмеща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,совмеща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,совмеща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,совмеща́юсь
2nd Sing,совмеща́ешься
3rd Sing,совмеща́ется
1st Pl,совмеща́емся
2nd Pl,совмеща́етесь
3rd Pl,совмеща́ются
Past M,совмеща́лся
Past F,совмеща́лась
Past N,совмеща́лось
Past PL,совмеща́лись
Imp S,совмеща́йся
Imp PL,совмеща́йтесь
