Infinitive,сострада́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сострада́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сострада́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сострада́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сострада́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,сострада́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,сострада́ю
2nd Sing,сострада́ешь
3rd Sing,сострада́ет
1st Pl,сострада́ем
2nd Pl,сострада́ете
3rd Pl,сострада́ют
Past M,сострада́л
Past F,сострада́ла
Past N,сострада́ло
Past PL,сострада́ли
Imp S,сострада́й
Imp PL,сострада́йте
