Infinitive,созрева́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,созрева́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,созрева́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,созрева́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,созрева́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,созрева́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,созрева́ю
2nd Sing,созрева́ешь
3rd Sing,созрева́ет
1st Pl,созрева́ем
2nd Pl,созрева́ете
3rd Pl,созрева́ют
Past M,созрева́л
Past F,созрева́ла
Past N,созрева́ло
Past PL,созрева́ли
Imp S,созрева́й
Imp PL,созрева́йте
