Infinitive,сомкну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сомкну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,со́мкнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сомкну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сомкну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сомкну́
2nd Sing,сомкнёшь
3rd Sing,сомкнёт
1st Pl,сомкнём
2nd Pl,сомкнёте
3rd Pl,сомкну́т
Past M,сомкну́л
Past F,сомкну́ла
Past N,сомкну́ло
Past PL,сомкну́ли
Imp S,сомкни́
Imp PL,сомкни́те
