Infinitive,соскользну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,соскользну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,соскользну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,соскользну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,соскользну́
2nd Sing,соскользнёшь
3rd Sing,соскользнёт
1st Pl,соскользнём
2nd Pl,соскользнёте
3rd Pl,соскользну́т
Past M,соскользну́л
Past F,соскользну́ла
Past N,соскользну́ло
Past PL,соскользну́ли
Imp S,соскользни́
Imp PL,соскользни́те
