Infinitive,созва́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,созва́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,со́званный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,созва́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,созва́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,созову́
2nd Sing,созовёшь
3rd Sing,созовёт
1st Pl,созовём
2nd Pl,созовёте
3rd Pl,созову́т
Past M,созва́л
Past F,созвала́
Past N,созва́ло
Past PL,созва́ли
Imp S,созови́
Imp PL,созови́те
