Infinitive,сочу́вствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сочу́вствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сочу́вствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сочу́вствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сочу́вствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,сочу́вствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,сочу́вствую
2nd Sing,сочу́вствуешь
3rd Sing,сочу́вствует
1st Pl,сочу́вствуем
2nd Pl,сочу́вствуете
3rd Pl,сочу́вствуют
Past M,сочу́вствовал
Past F,сочу́вствовала
Past N,сочу́вствовало
Past PL,сочу́вствовали
Imp S,сочу́вствуй
Imp PL,сочу́вствуйте
