Infinitive,соизво́лить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,соизво́ливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,соизво́лив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,соизво́ливши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,соизво́лю
2nd Sing,соизво́лишь
3rd Sing,соизво́лит
1st Pl,соизво́лим
2nd Pl,соизво́лите
3rd Pl,соизво́лят
Past M,соизво́лил
Past F,соизво́лила
Past N,соизво́лило
Past PL,соизво́лили
Imp S,соизво́ль
Imp PL,соизво́льте
