Infinitive,созда́ться
Zaliznyak Class,irreg-b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,созда́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,созда́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,созда́мся
2nd Sing,созда́шься
3rd Sing,созда́стся
1st Pl,создади́мся
2nd Pl,создади́тесь
3rd Pl,создаду́тся
Past M,созда́лся
Past F,создала́сь
Past N,создало́сь
Past PL,создали́сь
Imp S,созда́йся
Imp PL,созда́йтесь
