Infinitive,согре́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,согре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,согре́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,согре́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,согре́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,согре́ю
2nd Sing,согре́ешь
3rd Sing,согре́ет
1st Pl,согре́ем
2nd Pl,согре́ете
3rd Pl,согре́ют
Past M,согре́л
Past F,согре́ла
Past N,согре́ло
Past PL,согре́ли
Imp S,согре́й
Imp PL,согре́йте
