Infinitive,сорва́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сорва́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сорва́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сорву́сь
2nd Sing,сорвёшься
3rd Sing,сорвётся
1st Pl,сорвёмся
2nd Pl,сорвётесь
3rd Pl,сорву́тся
Past M,сорва́лся
Past F,сорвала́сь
Past N,сорвало́сь
Past PL,сорвали́сь
Imp S,сорви́сь
Imp PL,сорви́тесь
