Infinitive,сопря́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сопря́гший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сопряжённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сопря́гши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,сопрягу́
2nd Sing,сопряжёшь
3rd Sing,сопряжёт
1st Pl,сопряжём
2nd Pl,сопряжёте
3rd Pl,сопрягу́т
Past M,сопря́г
Past F,сопрягла́
Past N,сопрягло́
Past PL,сопрягли́
Imp S,сопряги́
Imp PL,сопряги́те
